question,ground_truth
"Berapa kali suami dianjurkan mengikuti Kelas Ibu Hamil, dan kepada siapa jadwal serta tempat pelaksanaannya bisa ditanyakan?","Untuk jadwal dan tempat pelaksanaan Kelas ibu hamil tanyakan pada petugas kesehatan, dan minta suami mengikuti paling sedikit 1 kali."
"Apa yang dialami ibu pada usia kehamilan 4-6 bulan (Trimester 2), termasuk kenaikan berat badan dan gerak bayi?","Gejala yang dirasakan pada awal kehamilan mulai berkurang. Kenaikan berat badan sesuai dengan status gizi ibu sebelum hamil, yaitu sekitar 4 – 8 kg. Mulai merasakan gerak bayi, seperti menendang, pada usia kehamilan 5 bulan."
"Bagaimana perkembangan bayi pada usia kehamilan Trimester 2, dari segi panjang dan berat badan?","Fungsi organ dan tubuh bayi berkembang, dimana bayi akan tumbuh mulai dari panjang 12.5 cm atau kira-kira sebesar apel sampai 34 cm dan berat sekitar 1000 gram, atau kira-kira sebesar jagung di akhir bulan ke 6."
Kapan sebaiknya persiapan melahirkan mulai dilakukan?,"Demi kelancaran proses melahirkan, persiapan harus dilakukan jauh-jauh hari, yaitu mulai trimester kedua."
Apa yang harus dilakukan ibu hamil pada usia kehamilan 7-9 bulan (Trimester 3)?,"Periksa kehamilan paling sedikit tiga kali dan salah satunya harus oleh dokter, termasuk pemeriksaan USG dan laboratorium. Makan dengan porsi lebih kecil tapi sering, yang terbagi dalam 3 kali makanan utama ditambah dengan 1-2 kali makanan kudapan dalam sehari (lihat halaman 16) sama dengan trimester 2. Minum Tablet Tambah Darah (TTD)/Multivitamin setiap hari selama kehamilan. Kenali dan cek tanda bahaya (lihat halaman 20). Jika mengalami tanda bahaya, segera pergi ke fasilitas pelayanan kesehatan. Kenali tanda awal melahirkan dan tanda bahaya pada melahirkan. Pelajari proses melahirkan. Diskusikan dengan tenaga kesehatan metode KB yang akan dipilih. Pelajari pentingnya Inisiasi Menyusu Dini (IMD) dan pemberian Air Susu Ibu (ASI). Ketahui hal-hal penting terkait perawatan bayi baru lahir."
Benarkah mitos bahwa minyak dan makanan pedas dapat mempercepat kelahiran?,"Mitos ini tidak terbukti secara ilmiah ya, Bu. Yang terpenting adalah menjaga pola makan seimbang dan memenuhi kebutuhan gizi agar ibu dan bayi tetap sehat selama proses melahirkan."
Sebutkan tanda bahaya pada Trimester 3 yang mengharuskan ibu hamil segera dibawa periksa ke Puskesmas/Rumah Sakit.,Gerakan bayi tidak ada/kurang dari 10 kali dalam 12 jam. Ketuban pecah namun tidak ada kontraksi. Nyeri perut hebat di antara kontraksi. Perdarahan hebat. Pusing/sakit kepala berat.
"Di fasilitas kesehatan mana proses melahirkan harus dilakukan, dan mengapa?","Proses melahirkan harus dilakukan di Puskesmas, Rumah Sakit atau Klinik Bersalin, sehingga jika terjadi masalah dapat ditangani segera."
Apa yang dialami ibu ketika proses melahirkan dimulai?,"Ketika proses melahirkan dimulai, Ibu akan mengalami pembukaan jalan lahir, keluarnya lendir bercampur darah, merasakan mulas-mulas yang teratur, semakin sering dan semakin lama."
Mengapa kontak kulit ke kulit (Inisiasi Menyusu Dini) antara ibu dan bayi penting dilakukan segera setelah melahirkan?,"Kontak kulit ke kulit dengan bayi penting untuk menjaga kehangatan bayi, membangun ikatan kasih sayang antara ibu dan anak (bonding), serta awal keberhasilan menyusui, dimana bayi mendapat Air Susu Ibu pertama (Kolostrum) untuk menjaga kekebalan tubuhnya."
Apa saja tanda awal proses melahirkan?,"Perut mulas-mulas yang teratur, timbulnya semakin sering dan semakin lama. Keluar lendir bercampur darah dari jalan lahir atau keluar cairan ketuban dari jalan lahir."
Sebutkan manfaat Inisiasi Menyusu Dini (IMD) pada ibu dan bayi.,"Menciptakan rasa tenang dan nyaman pada ibu dan bayi melalui kontak kulit ke kulit. Kandungan kolostrum dalam ASI mengandung gizi dan antibodi dari ibu, sehingga bisa meningkatkan daya tahan tubuh dan ketahanan hidup bayi. Meningkatkan kesehatan sistem pencernaan bayi, sehingga mengurangi risiko diare pada bayi. Menstimulasi produksi ASI dan meningkatkan durasi menyusui. Mengurangi pendarahan karena gerakan bayi di atas perut ibu dapat membantu menstimulasi kontraksi rahim. Mempercepat proses pelepasan plasenta."
